      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.1200000         0.2581725        -0.3738257         2.2146583        -2.1189534        11.8804495         7.5852066         0.2822959        -0.0181769        -0.0324233         0.0168471         0.0018878         0.0474844         0.0207538        -0.0129066         0.0000000        -0.3327454        -0.1187941         0.0000000        -2.1189534        13.8299138         2.7228520         0.2382577         0.0850609         1.0119493         1.0119493         0.2529863         0.2499990         0.3533151         0.3429079      sliding
         0.1250000         0.2995648        -0.3841659         2.2882008        -2.0178164        11.4107824         7.7928390         0.2929921        -0.0256779        -0.0318022         0.0182601         0.0021785         0.0473238         0.0229112        -0.0128803         0.0000000        -0.2993995        -0.1211686         0.0000000        -2.0178164        13.4997127         2.9482285         0.2348733         0.0950545         1.0135202         1.0135202         0.2533788         0.2499988         0.3229890         0.3845563      sliding
         0.1300000         0.3421937        -0.3940079         2.3602699        -1.9190613        10.9489931         7.9805517         0.3031437        -0.0334420        -0.0310815         0.0197212         0.0025085         0.0471665         0.0251559        -0.0127486         0.0000000        -0.2669412        -0.1239575         0.0000000        -1.9190613        13.1737303         3.1658307         0.2303867         0.1069830         1.0160641         1.0160641         0.2540146         0.2499986         0.2943180         0.4347334      sliding
         0.1350000         0.3859603        -0.4033540         2.4308741        -1.8187927        10.4975608         8.1495970         0.3126651        -0.0413429        -0.0302070         0.0212267         0.0028822         0.0470132         0.0274788        -0.0125043         0.0000000        -0.2355811        -0.1268502         0.0000000        -1.8187927        12.8538892         3.3752403         0.2244796         0.1208726         1.0198210         1.0198210         0.2549535         0.2499983         0.2675620         0.4939377      sliding
         0.1400000         0.4307690        -0.4121867         2.5000327        -1.7130836        10.0596541         8.3008722         0.3214610        -0.0492485        -0.0291162         0.0227718         0.0033041         0.0468648         0.0298690        -0.0121396         0.0000000        -0.2055722        -0.1295319         0.0000000        -1.7130836        12.5425719         3.5756131         0.2167759         0.1365913         1.0248909         1.0248909         0.2562205         0.2499979         0.2429783         0.5622612      sliding
         0.1450000         0.4765255        -0.4204697         2.5677783        -1.5983651         9.6392044         8.4350135         0.3294249        -0.0570297        -0.0277462         0.0243512         0.0037785         0.0467226         0.0323138        -0.0116467         0.0000000        -0.1772158        -0.1317094         0.0000000        -1.5983651        12.2426860         3.7656812         0.2069033         0.1537735         1.0311673         1.0311673         0.2577892         0.2499974         0.2208003         0.6391444      sliding
         0.1500000         0.5231356        -0.4281510         2.6341597        -1.4719655         9.2407774         8.5524880         0.3364430        -0.0645724        -0.0260456         0.0259583         0.0043096         0.0465879         0.0347985        -0.0110183         0.0000000        -0.1508512        -0.1331482         0.0000000        -1.4719655        11.9575611         3.9438242         0.1946060         0.1717681         1.0382867         1.0382867         0.2595685         0.2499969         0.2012077         0.7231439      sliding
         0.1550000         0.5705041        -0.4351679         2.6992433        -1.3326564         8.8691866         8.6536834         0.3424025        -0.0717916        -0.0239876         0.0275857         0.0049010         0.0464627         0.0373066        -0.0102482         0.0000000        -0.1268285        -0.1337104         0.0000000        -1.3326564        11.6906417         4.1082362         0.1798959         0.1896572         1.0456340         1.0456340         0.2614047         0.2499963         0.1842931         0.8118060      sliding
         0.1600000         0.6185343        -0.4414567         2.7631122        -1.1809533         8.5288677         8.7390265         0.3472062        -0.0786412        -0.0215793         0.0292250         0.0055553         0.0463486         0.0398203        -0.0093321         0.0000000        -0.1054637        -0.1333767         0.0000000        -1.1809533        11.4450169         4.2572005         0.1631906         0.2063821         1.0524418         1.0524418         0.2631059         0.2499957         0.1700351         0.9017392      sliding
         0.1650000         0.6671281        -0.4469605         2.8258631        -1.0191482         8.2229810         8.8089730         0.3507921        -0.0851176        -0.0188656         0.0308675         0.0062738         0.0462474         0.0423209        -0.0082685         0.0000000        -0.0869740        -0.1322505         0.0000000        -1.0191482        11.2226691         4.3894329         0.1453308         0.2209864         1.0579891         1.0579891         0.2644920         0.2499950         0.1582867         0.9890650      sliding
         0.1700000         0.7161873        -0.4516372         2.8875989        -0.8507907         7.9527144         8.8640070         0.3531493        -0.0912514        -0.0159210         0.0325046         0.0070569         0.0461604         0.0447900        -0.0070587         0.0000000        -0.0714281        -0.1305242         0.0000000        -0.8507907        11.0239254         4.5043706         0.1274296         0.2328588         1.0618076         1.0618076         0.2654459         0.2499944         0.1487903         1.0700746      sliding
         0.1750000         0.7656136        -0.4554641         2.9484191        -0.6798608         7.7170134         8.9046179         0.3543228        -0.0970902        -0.0128346         0.0341278         0.0079035         0.0460884         0.0472100        -0.0057069         0.0000000        -0.0587279        -0.1284239         0.0000000        -0.6798608        10.8472735         4.6023011         0.1105980         0.2418513         1.0637858         1.0637858         0.2659398         0.2499937         0.1412149         1.1418905      sliding
