center_drift_m,center_mean_x_m,center_mean_y_m,center_motion_samples,center_orbit_max_m,center_orbit_mean_m,center_orbit_rms_m,center_orbit_span_m,center_path_length_m,cpu_time,direction2_deg,direction_deg,end_time,energy_stop,exit_status,face_radius,flat_stop,initial_slip,initial_wobble_axis,last_mode,lost_contact,mass,mean_vs,mode_changes,omega1,omega2,omega3,process_status,release_deg,score,step_too_small,theta_max_abs,theta_rms,theta_span,timed_out,wall_time
0.0128463124459901,0.06764027317518032,0.011719592382125473,84433,0.013266771077621923,0.002663387742666597,0.0036318017712028065,0.013262435209386038,2.3704816146760055,2.922,166.5,-13.5,86.433,True,0,0.045,False,1.0751,0.5221,rolling,False,0.25,0.0018054073535877086,9,9.2073,19.4309,-4.2612,0,27.5,82.90550347086685,False,1.5701266,1.426025746104066,1.7056168,False,5.0412592000002405
0.009063394755829627,0.06555715471228285,0.014350222030777947,84736,0.013010730777961934,0.00243903376019539,0.003445355768983408,0.012981652489110332,2.319823080546272,3.062,167.0,-13.0,86.736,True,0,0.045,False,1.0711,0.5057,rolling,False,0.25,0.0017948654242134268,9,8.8825,19.4934,-4.275,0,27.5,83.22851283658805,False,1.5701147,1.4254803172118502,1.6973533,False,5.187098800000058
0.010068469282368594,0.0658528438112608,0.016266214287227156,84985,0.012063937219363248,0.002060465094969181,0.003229810136821957,0.012056848049408547,2.2671086018834194,3.188,167.5,-12.5,86.985,True,0,0.045,False,1.0672,0.4894,rolling,False,0.25,0.0017864477410157956,9,8.556,19.5538,-4.2882,0,27.5,83.49735024100076,False,1.5701147,1.4250207824183878,1.689279,False,5.259892599999603
0.010750113395215881,0.06613016348681122,0.018020862176147564,85224,0.011792536176086471,0.0020229220252489153,0.0031348906395530338,0.011791163078352436,2.221109424473874,3.25,168.0,-12.0,87.224,True,0,0.045,False,1.0634,0.4734,rolling,False,0.25,0.0017785548088277443,9,8.2278,19.612,-4.301,0,27.5,83.75575045003797,False,1.5701149,1.4246897316671312,1.681388,False,5.325486100000035
0.009981188763869768,0.06522943192780968,0.0206351936774874,85330,0.011833240887226149,0.002115301013919141,0.0030909615020162985,0.011830640859381637,2.1728540530502225,3.25,168.5,-11.5,87.33,True,0,0.045,False,1.0597,0.4575,rolling,False,0.25,0.0017756027699213338,9,7.8978,19.668,-4.3132,0,27.5,83.88109699056403,False,1.5701148,1.4242464814699791,1.6736858000000001,False,5.254328799999712
0.011109913887155019,0.06596703265267935,0.02151468282108858,85506,0.011151925648884287,0.0020143445433032387,0.0029804992430114163,0.011139353947554718,2.128749589779952,3.328,169.0,-11.0,87.506,True,0,0.045,False,1.0562,0.4419,rolling,False,0.25,0.0017700646942530312,9,7.5663,19.7218,-4.325,0,27.5,84.07596079720639,False,1.5701146,1.4240086497579305,1.6661795,False,5.350637800000186
0.008843426232518705,0.06462678029665966,0.023304247549637933,85620,0.011055317705640935,0.0020349593920835434,0.0029271024518135983,0.011044824871285733,2.086811499871408,3.312,169.5,-10.5,87.62,True,0,0.045,False,1.0527,0.4265,rolling,False,0.25,0.0017671216740279157,9,7.2332,19.7734,-4.3363,0,27.5,84.20860153802691,False,1.5701144,1.4237417293971506,1.6588765,False,5.394097999999758
0.010649732260484296,0.06487330738706593,0.025681917928356536,85758,0.010801400816304091,0.001954451974998485,0.002834733984867207,0.010797769300703879,2.0433866729898917,3.438,170.0,-10.0,87.758,True,0,0.045,False,1.0494,0.4114,rolling,False,0.25,0.001762710272450689,9,6.8987,19.8227,-4.3472,0,27.5,84.3648137103836,False,1.5701152,1.4235895792698363,1.6517859000000001,False,5.496322800000144
0.008922546177521301,0.06532597845428073,0.025469556009318578,85850,0.010637413441953595,0.0022933451083009633,0.0029678085920476437,0.010635677245881577,2.0019399562926905,3.641,170.5,-9.5,87.85,True,0,0.045,False,1.0463,0.3965,rolling,False,0.25,0.0017599278186930143,9,6.5627,19.8698,-4.3575,0,27.5,84.47479837242945,False,1.5701151,1.4234160700113463,1.6449234,False,5.642374100000325
0.006772838732761913,0.06387986886394044,0.027135075224245245,85955,0.01040903687425834,0.00222594709254484,0.0028869609047245787,0.010406415896341878,1.962254069793909,3.609,171.0,-9.0,87.955,True,0,0.045,False,1.0432,0.3819,rolling,False,0.25,0.001756635990722634,9,6.2254,19.9145,-4.3673,0,27.5,84.59737801180248,False,1.570115,1.4233177683322904,1.6382919,False,5.687280600000122
0.011748648641013994,0.06503500362195024,0.03003158757889598,86031,0.010325698718530093,0.0020838532007287905,0.00274968843709239,0.010322714815654655,1.9272140156294801,3.781,171.5,-8.5,88.031,True,0,0.045,False,1.0404,0.3676,rolling,False,0.25,0.001754419312295529,9,5.8868,19.957,-4.3766,0,27.5,84.69060079864897,False,1.5701151,1.4232138624809594,1.6318946,False,5.864651300000332
0.009976657609139444,0.06521698383456899,0.030238865205568597,86054,0.009742621192549004,0.002101076090467645,0.0027259257373386755,0.009740527301343622,1.8918208692581027,3.641,172.0,-8.0,88.054,True,0,0.045,False,1.0376,0.3536,rolling,False,0.25,0.0017538879291351995,9,5.547,19.9971,-4.3854,0,27.5,84.73049233769171,False,1.5701145,1.4230614745374286,1.6257397,False,5.689093700000285
0.00768216279962876,0.06298111150572965,0.03142906449826427,86131,0.009608055124460606,0.0020465876438590476,0.0026624223977525234,0.009604678095315723,1.8606864418907407,3.781,172.5,-7.5,88.131,True,0,0.045,False,1.035,0.34,rolling,False,0.25,0.0017515260472926973,9,5.206,20.0349,-4.3937,0,27.5,84.82383305634967,False,1.5701148,1.423027730734788,1.6198399,False,5.874315999999908
0.010629650903957285,0.0641006142507141,0.03334354440096607,86122,0.009307677515484489,0.0018851926139555235,0.0025156186184521756,0.00929008837369326,1.831950809405446,3.688,173.0,-7.0,88.122,True,0,0.045,False,1.0326,0.3268,rolling,False,0.25,0.0017525421819502287,9,4.8639,20.0703,-4.4015,0,27.5,84.8307595740383,False,1.5701147,1.4228831958755122,1.6142052,False,5.73366040000019
0.00845963845622258,0.06269842320332354,0.033846417255985056,86173,0.00901494564884647,0.0018550551806565054,0.0024685550669907457,0.009004110421285481,1.8078920451500098,3.703,173.5,-6.5,88.173,True,0,0.045,False,1.0303,0.3141,rolling,False,0.25,0.00175117617324835,9,4.5208,20.1033,-4.4087,0,27.5,84.89702002253607,False,1.5701146,1.4228495703821342,1.6088570999999998,False,5.817199800000253
0.008835753646407306,0.06376718308452518,0.03441645331686212,86211,0.008569285809352428,0.0017581199672986375,0.002380431908075998,0.008558380748060868,1.7840062605605,3.766,174.0,-6.0,88.211,True,0,0.045,False,1.0281,0.3019,rolling,False,0.25,0.001750051286673015,9,4.1767,20.134,-4.4154,0,27.5,84.94968213539875,False,1.5701153,1.4228130905731928,1.6038133,False,6.3815614999998616
0.00809008735984971,0.06258952792301896,0.035240739655672135,86255,0.00820651130608903,0.001396304118497722,0.002228006972962438,0.008206417303274705,1.76085264097533,4.0,174.5,-5.5,88.255,True,0,0.045,False,1.0262,0.2902,rolling,False,0.25,0.0017485550387509063,9,3.8318,20.1622,-4.4216,0,27.5,85.00773318574961,False,1.5701151,1.4227951720710603,1.599077,False,6.083104700000149
0.007488062935766501,0.06228069953992352,0.035457097248812144,86290,0.008014577518085894,0.001399356292401144,0.002197562410961286,0.007995247338591659,1.745112265349497,4.109,175.0,-5.0,88.29,True,0,0.045,False,1.0243,0.2791,rolling,False,0.25,0.001747444098492485,9,3.486,20.1881,-4.4273,0,27.5,85.05607551302529,False,1.5701147,1.4227583302583615,1.5946628,False,6.193073299999924
0.007177691791934227,0.06226332399258487,0.03588458822732012,86310,0.007883039447554436,0.0014270646869791776,0.0021815391363468268,0.007878716389356001,1.731024872041762,4.266,175.5,-4.5,88.31,True,0,0.045,False,1.0227,0.2687,rolling,False,0.25,0.0017465805245099704,9,3.1396,20.2115,-4.4324,0,27.5,85.0885944557251,False,1.5701143,1.4226937136166629,1.5905865,False,6.295735599999716
0.008092265641957141,0.06166924281825869,0.03647608299917764,86337,0.007816520388596794,0.0014342279323221313,0.0021750201437769384,0.007806788681267099,1.724399102312942,4.312,176.0,-4.0,88.337,True,0,0.045,False,1.0212,0.2591,rolling,False,0.25,0.0017455570128370578,9,2.7924,20.2325,-4.437,0,27.5,85.12715551050407,False,1.570115,1.4226256301556097,1.5868578,False,6.40387950000013
0.00789152769303891,0.06091073941698793,0.036412119439910164,86379,0.007873964964768698,0.0013830978057194502,0.0021633732712435898,0.00787180595050821,1.7246703175557399,4.75,176.5,-3.5,88.379,True,0,0.045,False,1.0199,0.2503,rolling,False,0.25,0.0017436344331296673,9,2.4447,20.251,-4.4411,0,27.5,85.17975861328864,False,1.5701144,1.4225544330412256,1.5834378,False,6.838963899999726
0.007283150532564878,0.060056136675461745,0.036070513071101235,86412,0.007901141623917475,0.0014035803214808265,0.002168872270471611,0.007891297100752629,1.723504264233909,4.625,177.0,-3.0,88.412,True,0,0.045,False,1.0188,0.2425,rolling,False,0.25,0.0017423639498716252,9,2.0964,20.2671,-4.4446,0,27.5,85.22220143644942,False,1.5701146,1.4224168179343362,1.5803063,False,6.957071599999836
0.0071892780305118234,0.059343167799609124,0.03607760480276625,86471,0.00786724046358274,0.0014030638533240475,0.0021689886172189207,0.007857904700169309,1.7243673359092306,4.594,177.5,-2.5,88.471,True,0,0.045,False,1.0178,0.2356,rolling,False,0.25,0.0017403682091509179,9,1.7477,20.2807,-4.4476,0,27.5,85.28958062245424,False,1.570115,1.4222521731732214,1.5774895999999998,False,7.07380140000032
0.0067314683346206125,0.0588290674693505,0.0360432425649677,86543,0.0076959937067099665,0.0013586013522379635,0.0021561914384382983,0.007692780714160204,1.7207858058558083,4.719,178.0,-2.0,88.543,True,0,0.045,False,1.017,0.2299,rolling,False,0.25,0.0017381432383899531,9,1.3986,20.2918,-4.45,0,27.5,85.36855393603636,False,1.5701145,1.4220307255266076,1.5750403000000002,False,6.8752715000000535
0.0070823537196330446,0.05792250001038853,0.03677520341320959,86634,0.007536815727468501,0.0013107519645142182,0.002137062407577417,0.00753630647370394,1.7117998745588856,5.078,178.5,-1.5,88.634,True,0,0.045,False,1.0164,0.2253,rolling,False,0.25,0.0017353660777345292,9,1.0492,20.3005,-4.4519,0,27.5,85.46523319128687,False,1.5701152,1.4217662258293067,1.5729686,False,7.281392000000324
0.006541597979851711,0.05689435920272981,0.03700573669102898,86746,0.007419794127399367,0.0013115118346972386,0.002116010395121493,0.007417338122279662,1.6995430812847874,4.875,179.0,-1.0,88.746,True,0,0.045,False,1.0159,0.222,rolling,False,0.25,0.0017322228187995087,9,0.6996,20.3067,-4.4533,0,27.5,85.58137651541425,False,1.5701146,1.4214617333699677,1.5714289,False,7.030455200000233
0.0072307086990142265,0.05579894611559403,0.03835555354828313,86873,0.007447925466510985,0.0014563629695867786,0.002133443254562419,0.0074436072770914805,1.6852622468706642,5.359,179.5,-0.5,88.873,True,0,0.045,False,1.0157,0.22,rolling,False,0.25,0.001728560600400567,9,0.3498,20.3104,-4.4541,0,27.5,85.71097574574529,False,1.5701151,1.4211309035577264,1.5704523,False,8.133426599999893
0.006374935221631672,0.054643281355016046,0.03903009633816747,86951,0.007034673179505453,0.0012693379832791484,0.00205286741979134,0.007033767013977719,1.6579148741610177,4.844,180.0,0.0,88.951,True,0,0.045,False,1.0156,0.2193,rolling,False,0.25,0.0017272299599784154,9,0.0,20.3116,-4.4544,0,27.5,85.79007913215246,False,1.5701151,1.4206923697592257,1.5701151,False,7.112689099999898
